InstanceName,Swap,Cross,Worst,Best,Avg
d198_n197_uncorr_09.ttp,SWAP,OX,-60068.4427,4131.6020,-33055.6068
d198_n197_uncorr_09.ttp,SWAP,OX,-66840.7715,15528.0338,-11049.4309
d198_n197_uncorr_09.ttp,SWAP,OX,-13517.3373,23698.0250,3906.8439
d198_n197_uncorr_09.ttp,SWAP,OX,-3194.0059,23698.0250,9203.4838
d198_n197_uncorr_09.ttp,SWAP,OX,3448.7617,47106.1601,16700.5323
d198_n197_uncorr_09.ttp,SWAP,OX,-26135.6313,47106.1601,21285.7961
d198_n197_uncorr_09.ttp,SWAP,OX,6954.9640,47106.1601,23653.1347
d198_n197_uncorr_09.ttp,SWAP,OX,-25485.1505,61673.8190,24172.0041
d198_n197_uncorr_09.ttp,SWAP,OX,-21335.8449,61673.8190,24173.1284
d198_n197_uncorr_09.ttp,SWAP,OX,-19909.5619,66494.0442,24133.0113
d198_n197_uncorr_09.ttp,SWAP,OX,4820.2253,66494.0442,26707.5423
d198_n197_uncorr_09.ttp,SWAP,OX,-11436.0057,74257.2604,24397.0007
d198_n197_uncorr_09.ttp,SWAP,OX,-17731.8299,74257.2604,22161.0553
d198_n197_uncorr_09.ttp,SWAP,OX,-2533.9858,74257.2604,23977.3566
d198_n197_uncorr_09.ttp,SWAP,OX,-5240.1150,85215.0989,25959.1947
d198_n197_uncorr_09.ttp,SWAP,OX,5076.0203,85215.0989,28231.5846
d198_n197_uncorr_09.ttp,SWAP,OX,3625.1700,91466.3350,30075.8943
d198_n197_uncorr_09.ttp,SWAP,OX,-3215.7402,91466.3350,29785.5592
d198_n197_uncorr_09.ttp,SWAP,OX,-10432.3518,91466.3350,25944.4874
d198_n197_uncorr_09.ttp,SWAP,OX,-17190.8643,91466.3350,22707.9011
d198_n197_uncorr_09.ttp,SWAP,OX,-9917.9065,97351.5683,33784.6348
d198_n197_uncorr_09.ttp,SWAP,OX,-10089.8541,97385.4600,31521.4647
d198_n197_uncorr_09.ttp,SWAP,OX,1415.8556,98214.8988,28469.9398
d198_n197_uncorr_09.ttp,SWAP,OX,-34773.0841,99130.5069,30932.9174
d198_n197_uncorr_09.ttp,SWAP,OX,-49637.9205,99130.5069,22711.6630
d198_n197_uncorr_09.ttp,SWAP,OX,-11406.8710,97351.5683,25263.4608
d198_n197_uncorr_09.ttp,SWAP,OX,-52308.1541,97351.5683,30426.3289
d198_n197_uncorr_09.ttp,SWAP,OX,-29312.3893,102539.3662,28683.0730
d198_n197_uncorr_09.ttp,SWAP,OX,-19110.6954,100931.1731,30586.2818
d198_n197_uncorr_09.ttp,SWAP,OX,-7079.4425,108336.8659,32983.7033
d198_n197_uncorr_09.ttp,SWAP,OX,-31143.8612,100931.1731,27874.0940
d198_n197_uncorr_09.ttp,SWAP,OX,-522.3822,108661.0131,33970.9302
d198_n197_uncorr_09.ttp,SWAP,OX,1962.9575,108661.0131,36011.8560
d198_n197_uncorr_09.ttp,SWAP,OX,-6919.0356,108661.0131,38530.6142
d198_n197_uncorr_09.ttp,SWAP,OX,-27362.5116,108661.0131,30123.6538
d198_n197_uncorr_09.ttp,SWAP,OX,-20696.8408,111520.7603,35941.6660
d198_n197_uncorr_09.ttp,SWAP,OX,-61144.2037,117721.5031,32761.5156
d198_n197_uncorr_09.ttp,SWAP,OX,-35343.8053,117721.5031,39480.2911
d198_n197_uncorr_09.ttp,SWAP,OX,-1583.5788,117721.5031,32051.1866
d198_n197_uncorr_09.ttp,SWAP,OX,-67092.9053,122321.0429,32818.8502
d198_n197_uncorr_09.ttp,SWAP,OX,-15097.9504,129363.3343,32274.2546
d198_n197_uncorr_09.ttp,SWAP,OX,-6522.7138,117721.5031,23027.6712
d198_n197_uncorr_09.ttp,SWAP,OX,-42437.3832,119267.9076,21744.1322
d198_n197_uncorr_09.ttp,SWAP,OX,-30082.1586,117721.5031,26169.0127
d198_n197_uncorr_09.ttp,SWAP,OX,-25912.4141,119836.0255,34401.5467
d198_n197_uncorr_09.ttp,SWAP,OX,-18717.1798,119836.0255,34418.9166
d198_n197_uncorr_09.ttp,SWAP,OX,-18717.1798,121764.6477,39395.1980
d198_n197_uncorr_09.ttp,SWAP,OX,-81136.5160,121764.6477,38869.3735
d198_n197_uncorr_09.ttp,SWAP,OX,-25502.8967,119836.0255,36776.2379
d198_n197_uncorr_09.ttp,SWAP,OX,-13742.0649,121884.1220,22901.2841
d198_n197_uncorr_09.ttp,SWAP,OX,-38225.2784,121884.1220,30479.0220
d198_n197_uncorr_09.ttp,SWAP,OX,-68171.4487,120735.5686,32040.4025
d198_n197_uncorr_09.ttp,SWAP,OX,-36343.5458,121768.4525,29488.9495
d198_n197_uncorr_09.ttp,SWAP,OX,-7365.2472,121768.4525,25341.2331
d198_n197_uncorr_09.ttp,SWAP,OX,-7041.3976,121768.4525,23452.7325
d198_n197_uncorr_09.ttp,SWAP,OX,-90504.1784,121768.4525,25839.2396
d198_n197_uncorr_09.ttp,SWAP,OX,-90504.1784,121801.9391,33516.5320
d198_n197_uncorr_09.ttp,SWAP,OX,-38238.6456,121801.9391,25715.2376
d198_n197_uncorr_09.ttp,SWAP,OX,-51610.6952,121801.9391,29869.7357
d198_n197_uncorr_09.ttp,SWAP,OX,-17515.3753,121801.9391,33610.0225
d198_n197_uncorr_09.ttp,SWAP,OX,-17515.3753,121801.9391,27720.1403
d198_n197_uncorr_09.ttp,SWAP,OX,-27379.8479,125259.0020,30914.8667
d198_n197_uncorr_09.ttp,SWAP,OX,-53127.1571,121801.9391,37065.1098
d198_n197_uncorr_09.ttp,SWAP,OX,-52217.3699,122716.9926,29519.9622
d198_n197_uncorr_09.ttp,SWAP,OX,-73650.6082,122716.9926,29231.3077
d198_n197_uncorr_09.ttp,SWAP,OX,-79987.7140,124950.2304,35179.7337
d198_n197_uncorr_09.ttp,SWAP,OX,-79280.1307,122716.9926,30822.0272
d198_n197_uncorr_09.ttp,SWAP,OX,-79048.2153,122716.9926,26880.8188
d198_n197_uncorr_09.ttp,SWAP,OX,-89209.9733,122389.7403,29661.6816
d198_n197_uncorr_09.ttp,SWAP,OX,-74516.0698,122389.7403,34393.5705
d198_n197_uncorr_09.ttp,SWAP,OX,-49995.9386,122868.3095,35443.1808
d198_n197_uncorr_09.ttp,SWAP,OX,-55599.1920,122868.3095,29838.9999
d198_n197_uncorr_09.ttp,SWAP,OX,-27131.8878,122868.3095,21849.9924
d198_n197_uncorr_09.ttp,SWAP,OX,-15269.8175,123846.0315,33567.8989
d198_n197_uncorr_09.ttp,SWAP,OX,-22337.9773,123846.0315,30078.1297
d198_n197_uncorr_09.ttp,SWAP,OX,-90908.8417,123846.0315,31317.2367
d198_n197_uncorr_09.ttp,SWAP,OX,-22900.1863,123846.0315,33638.6062
d198_n197_uncorr_09.ttp,SWAP,OX,-27074.7253,123846.0315,38490.1415
d198_n197_uncorr_09.ttp,SWAP,OX,-34291.7327,123846.0315,43952.4691
d198_n197_uncorr_09.ttp,SWAP,OX,-9409.7146,123846.0315,35459.7977
d198_n197_uncorr_09.ttp,SWAP,OX,-56291.5431,123846.0315,27071.2487
d198_n197_uncorr_09.ttp,SWAP,OX,-44064.6323,123846.0315,24960.5801
d198_n197_uncorr_09.ttp,SWAP,OX,-47363.6023,123846.0315,20461.0622
d198_n197_uncorr_09.ttp,SWAP,OX,-29846.2268,123846.0315,25357.1054
d198_n197_uncorr_09.ttp,SWAP,OX,-6890.4756,123846.0315,26993.2724
d198_n197_uncorr_09.ttp,SWAP,OX,-83202.9183,123846.0315,20778.0094
d198_n197_uncorr_09.ttp,SWAP,OX,-25427.2376,123846.0315,26154.6375
d198_n197_uncorr_09.ttp,SWAP,OX,-24342.4786,123846.0315,29256.0416
d198_n197_uncorr_09.ttp,SWAP,OX,-24342.4786,123846.0315,33291.9331
d198_n197_uncorr_09.ttp,SWAP,OX,-35663.1479,123846.0315,37968.8529
d198_n197_uncorr_09.ttp,SWAP,OX,-16415.7375,123846.0315,30810.1837
d198_n197_uncorr_09.ttp,SWAP,OX,-19148.6316,125148.7538,30557.7348
d198_n197_uncorr_09.ttp,SWAP,OX,-9802.6317,125148.7538,28999.6428
d198_n197_uncorr_09.ttp,SWAP,OX,-72855.2294,125148.7538,32463.3165
d198_n197_uncorr_09.ttp,SWAP,OX,-10885.8108,125148.7538,42013.0913
d198_n197_uncorr_09.ttp,SWAP,OX,-18719.2348,125148.7538,23607.4152
d198_n197_uncorr_09.ttp,SWAP,OX,-10462.2128,127378.8616,26559.7136
d198_n197_uncorr_09.ttp,SWAP,OX,-45288.4728,127378.8616,29249.0727
d198_n197_uncorr_09.ttp,SWAP,OX,-42959.2744,127378.8616,21270.7132
d198_n197_uncorr_09.ttp,SWAP,OX,-35101.7778,127378.8616,16635.3156
d198_n197_uncorr_09.ttp,INVERSE,CX,-59734.0320,4131.6020,-33125.2685
d198_n197_uncorr_09.ttp,INVERSE,CX,-42122.5878,4203.8955,-10077.3802
d198_n197_uncorr_09.ttp,INVERSE,CX,-7550.2910,6951.9275,3068.5452
d198_n197_uncorr_09.ttp,INVERSE,CX,-7919.7351,23423.3357,3868.1218
d198_n197_uncorr_09.ttp,INVERSE,CX,-12383.8149,23423.3357,3998.6397
d198_n197_uncorr_09.ttp,INVERSE,CX,-9962.8426,26734.0429,6739.5441
d198_n197_uncorr_09.ttp,INVERSE,CX,-1528.4741,46222.2963,14159.8982
d198_n197_uncorr_09.ttp,INVERSE,CX,-4230.1390,46222.2963,22014.5150
d198_n197_uncorr_09.ttp,INVERSE,CX,-41061.9417,46222.2963,22934.8937
d198_n197_uncorr_09.ttp,INVERSE,CX,5161.8047,65177.4630,25598.0490
d198_n197_uncorr_09.ttp,INVERSE,CX,-2141.4082,65177.4630,24215.2427
d198_n197_uncorr_09.ttp,INVERSE,CX,6690.3781,68846.3084,28834.3878
d198_n197_uncorr_09.ttp,INVERSE,CX,9789.1935,85326.5653,29424.6282
d198_n197_uncorr_09.ttp,INVERSE,CX,9886.9596,95092.3659,30980.2104
d198_n197_uncorr_09.ttp,INVERSE,CX,6895.0893,95092.3659,34067.7276
d198_n197_uncorr_09.ttp,INVERSE,CX,-200.1677,95092.3659,30715.5340
d198_n197_uncorr_09.ttp,INVERSE,CX,9847.6228,107130.4687,31532.1480
d198_n197_uncorr_09.ttp,INVERSE,CX,9458.1069,107130.4687,31515.1549
d198_n197_uncorr_09.ttp,INVERSE,CX,-10727.0712,107130.4687,36046.1612
d198_n197_uncorr_09.ttp,INVERSE,CX,7816.2053,119419.8307,35210.2978
d198_n197_uncorr_09.ttp,INVERSE,CX,4849.2609,119419.8307,35901.2314
d198_n197_uncorr_09.ttp,INVERSE,CX,-13419.5120,119419.8307,35760.9585
d198_n197_uncorr_09.ttp,INVERSE,CX,-16899.2383,119419.8307,34612.7234
d198_n197_uncorr_09.ttp,INVERSE,CX,-5669.6149,107130.4687,31460.4816
d198_n197_uncorr_09.ttp,INVERSE,CX,-2179.6208,107130.4687,34946.5062
d198_n197_uncorr_09.ttp,INVERSE,CX,-853.6360,107130.4687,36154.6484
d198_n197_uncorr_09.ttp,INVERSE,CX,-16481.6254,119406.2802,31195.4294
d198_n197_uncorr_09.ttp,INVERSE,CX,-21121.3000,119406.2802,31296.5479
d198_n197_uncorr_09.ttp,INVERSE,CX,-621.3102,119406.2802,33643.6237
d198_n197_uncorr_09.ttp,INVERSE,CX,-14865.1143,119406.2802,28992.3844
d198_n197_uncorr_09.ttp,INVERSE,CX,-19869.3384,119406.2802,31293.5969
d198_n197_uncorr_09.ttp,INVERSE,CX,-27485.1933,124506.7156,35748.7815
d198_n197_uncorr_09.ttp,INVERSE,CX,-14212.8215,124842.4806,33221.2767
d198_n197_uncorr_09.ttp,INVERSE,CX,-5913.2523,124842.4806,36400.5048
d198_n197_uncorr_09.ttp,INVERSE,CX,-26445.4365,124842.4806,39254.2522
d198_n197_uncorr_09.ttp,INVERSE,CX,-11373.3232,132403.3620,30317.8723
d198_n197_uncorr_09.ttp,INVERSE,CX,-5913.2523,132403.3620,33783.4033
d198_n197_uncorr_09.ttp,INVERSE,CX,-41377.7610,132403.3620,36105.1802
d198_n197_uncorr_09.ttp,INVERSE,CX,-48796.9132,132403.3620,35535.9621
d198_n197_uncorr_09.ttp,INVERSE,CX,-41377.7610,132403.3620,34067.1761
d198_n197_uncorr_09.ttp,INVERSE,CX,-3492.3725,130779.3801,32821.2587
d198_n197_uncorr_09.ttp,INVERSE,CX,3182.3165,141225.2114,41106.8478
d198_n197_uncorr_09.ttp,INVERSE,CX,-7690.5141,141225.2114,34747.1384
d198_n197_uncorr_09.ttp,INVERSE,CX,-7690.5141,149122.2147,37071.1606
d198_n197_uncorr_09.ttp,INVERSE,CX,-19433.0361,141225.2114,31778.4184
d198_n197_uncorr_09.ttp,INVERSE,CX,-30353.2721,134014.2699,32238.8639
d198_n197_uncorr_09.ttp,INVERSE,CX,-23956.9545,140674.0780,31822.4484
d198_n197_uncorr_09.ttp,INVERSE,CX,-23956.9545,140674.0780,34262.3096
d198_n197_uncorr_09.ttp,INVERSE,CX,-19801.0793,143956.9271,32291.8841
d198_n197_uncorr_09.ttp,INVERSE,CX,-23161.9927,146351.6438,35230.8755
d198_n197_uncorr_09.ttp,INVERSE,CX,-29248.3342,146351.6438,30187.8585
d198_n197_uncorr_09.ttp,INVERSE,CX,-8442.5633,146351.6438,36345.4919
d198_n197_uncorr_09.ttp,INVERSE,CX,-13898.2561,146351.6438,46409.9555
d198_n197_uncorr_09.ttp,INVERSE,CX,-21633.3199,146351.6438,34677.0145
d198_n197_uncorr_09.ttp,INVERSE,CX,-12642.2526,146351.6438,47211.1556
d198_n197_uncorr_09.ttp,INVERSE,CX,-9724.0310,150618.9149,45860.6189
d198_n197_uncorr_09.ttp,INVERSE,CX,-33116.8040,150618.9149,25871.9925
d198_n197_uncorr_09.ttp,INVERSE,CX,-28569.7846,159162.0558,40095.8174
d198_n197_uncorr_09.ttp,INVERSE,CX,-45978.7898,150618.9149,35306.7811
d198_n197_uncorr_09.ttp,INVERSE,CX,-11906.5749,150618.9149,45478.4827
